year,section,row_no,account,account_key,entity,scope,value_yuan,value_wan
2020,资产负债表,21,其他应收款净额,其他应收款净额,凯莱酒店,公司,5817947.02,581.7947019999999
2020,资产负债表,21,其他应收款净额,其他应收款净额,潭耒项目部,公司,0.0,0.0
2020,资产负债表,21,其他应收款净额,其他应收款净额,综合楼项目部,公司,4745539.54,474.553954
2020,资产负债表,21,其他应收款净额,其他应收款净额,现代环投,公司,7462647.76,746.264776
2020,资产负债表,21,其他应收款净额,其他应收款净额,大有期货,公司,88413545.21,8841.354521
2020,资产负债表,21,其他应收款净额,其他应收款净额,现代财富,公司,5950988.91,595.098891
2020,资产负债表,21,其他应收款净额,其他应收款净额,现代资产,公司,3358470.15,335.847015
2020,资产负债表,21,其他应收款净额,其他应收款净额,怀芷公司,公司,192625.85,19.262585
2020,资产负债表,21,其他应收款净额,其他应收款净额,溆怀公司,公司,1338786701.9,133878.67019
2020,资产负债表,21,其他应收款净额,其他应收款净额,现代房产,公司,0.0,0.0
2020,资产负债表,21,其他应收款净额,其他应收款净额,安迅小贷,公司,2572988.67,257.298867
2020,资产负债表,21,其他应收款净额,其他应收款净额,现代担保,公司,31773410.45,3177.341045
2020,资产负债表,21,其他应收款净额,其他应收款净额,巴陵农商行,公司,2085598.04,208.559804
2020,资产负债表,21,其他应收款净额,其他应收款净额,长韶娄公司,公司,20080765.31,2008.076531
2020,资产负债表,21,其他应收款净额,其他应收款净额,集团审定口径,集团,202055909.06,20205.590906
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,母公司,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,现代环投,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,大有期货,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,现代财富,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,现代资产,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,怀芷公司,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,溆怀公司,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,现代房产,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,安迅小贷,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,现代担保,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,巴陵农商行,公司,340000000.0,34000.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,长韶娄公司,公司,0.0,0.0
2020,资产负债表,22,△买入返售金融资产,△买入返售金融资产,集团审定口径,集团,340000000.0,34000.0
2020,资产负债表,23,存货,存货,母公司,公司,1901632.35,190.16323500000001
2020,资产负债表,23,存货,存货,凯莱酒店,公司,1901632.35,190.16323500000001
2020,资产负债表,23,存货,存货,现代环投,公司,17622263.04,1762.2263039999998
2020,资产负债表,23,存货,存货,大有期货,公司,314017588.46,31401.758845999997
2020,资产负债表,23,存货,存货,现代财富,公司,358580387.42,35858.038742000004
2020,资产负债表,23,存货,存货,现代资产,公司,9165462.65,916.5462650000001
2020,资产负债表,23,存货,存货,怀芷公司,公司,0.0,0.0
